Modellname;C6MDNP;C6ARTP;C6ARB1;C6ARB2;C6VABZ;C6SVK3;C6SVT3
Zubehör;ZB00;78887;Fachboden, 2er Set;Sockelbreite 81;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;78888;Fachboden, 1er Set;Sockelbreite 91;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;78889;Fachboden, 2er Set;Sockelbreite 91;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;78890;Fachboden, 1er Set;Sockelbreite 97;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;78891;Fachboden, 2er Set;Sockelbreite 97;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;78892;Fachboden, 1er Set;Sockelbreite 110;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;78893;Fachboden, 2er Set;Sockelbreite 110;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;81882;LED-Schrankbeleuchtung WING;2er-Set chromfarbig;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;81883;LED-Schrankbeleuchtung WING;3er-Set chromfarbig;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;82375;Fachboden, 1er Set;Sockelbreite 54;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;82376;Fachboden, 2er Set;Sockelbreite 54;für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;84006;Tür-Schließdämpfer;2er-Set, für 2-trg.  bis 4-trg. Schränke;für Außentüren;1950;ZUBEHÖR: 00
Zubehör;ZB00;84217;T-Einteilung;Sockelbreite 81;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;84219;T-Einteilung;Sockelbreite 91;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;84220;T-Einteilung;Sockelbreite 97;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;84221;T-Einteilung;Sockelbreite 110;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;86380;Schließdämpfer für Außentüren;2er-Set;für Savonna, Ausf. 161-163 -  2-türig;1950;ZUBEHÖR: 00
Zubehör;ZB00;86381;Dämpferpaket nur für Ausf. Savona;4er-Set;2x öffnen, 2x schließen;1950;ZUBEHÖR: 00
Zubehör;ZB00;88230;Schließdämpfer Außentüre/Schließ u. Öffnung Mitteltüre;4er-Set;für Savonna, Ausf. 161-163 -  3-türig;1950;ZUBEHÖR: 00
Zubehör;ZB00;89625;Tür-Schließdämpfer Mitteltür;für 3-trg. Schränke;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;91411;Hosenhalter;" ";" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;92936;Lichtleiste m. Sensor;2er-Set;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;92937;Lichtleiste m. Sensor;4er-Set;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;93591;Kleiderstange, ausziehbar;" ";für Schränke in Kurztiefe;1950;ZUBEHÖR: 00
Zubehör;ZB00;93695;Lichtleiste m. Sensor;3er-Set;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;98732;Hosenhalter ausziehbar;Sockelbreite 81;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;98733;Hosenhalter ausziehbar;Sockerbreite 91/97;" ";1950;ZUBEHÖR: 00
Zubehör;ZB00;98734;Hosenhalter ausziehbar;Sockelbreite 110;" ";1950;ZUBEHÖR: 00
Zubehör;ZB99;00666;beleuchteter Glasfachboden;Sockelbreite 81;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;00667;beleuchteter Glasfachboden;Sockelbreite 91;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;00668;beleuchteter Glasfachboden;Sockelbreite 97;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;00669;beleuchteter Glasfachboden;Sockelbreite 110;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;08044;Panorama T-Einteilung;Sockelbreite 156;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;08045;Panorama T-Einteilung;Sockelbreite 156;m. 6x Dekorschubkasten;1951;ZUBEHÖR: 99
Zubehör;ZB99;08048;Panorama T-Einteilung;Sockelbreite 163;;1951;ZUBEHÖR: 99
Zubehör;ZB99;08049;Panorama T-Einteilung;Sockelbreite 163;m. 6x Dekorschubkasten;1951;ZUBEHÖR: 99
Zubehör;ZB99;14411;Schubkasteneinsatz m. Softeinzug;Sockelbreite 68;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14412;Schubkasteneinsatz m. Softeinzug;Sockelbreite 81;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14413;Schubkasteneinsatz m. Softeinzug;Sockelbreite 91;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14414;Schubkasteneinsatz m. Softeinzug;Sockelbreite 97;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14415;Schubkasteneinsatz m. Softeinzug;Sockelbreite 110;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14491;Schubkasteneinsatz m. Softeinzug;Sockelbreite 68;6x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14492;Schubkasteneinsatz m. Softeinzug;Sockelbreite 81;6x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14493;Schubkasteneinsatz m. Softeinzug;Sockelbreite 91;6x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14494;Schubkasteneinsatz m. Softeinzug;Sockelbreite 97;6x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;14495;Schubkasteneinsatz m. Softeinzug;Sockelbreite 110;6x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;31264;Fachboden;Sockelbreite 40;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31265;Fachboden, 2er Set;Sockelbreite 40;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31266;Fachboden;Sockelbreite 48;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31267;Fachboden, 2er Set;Sockelbreite 48;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31268;Fachboden;für Schrägelement;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31269;Fachboden, 2er Set;für Schrägelement;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31300;Fachboden;für Eckschrank begehbar;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31301;Fachboden, 2er Set;für Eckschrank begehbar;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31302;Fachboden;für Eckschrank 90 Grad;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;31303;Fachboden, 2er Set;für Eckschrank 90 Grad;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;35337;Fachboden Panoramaschrank;" ";" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;35338;Fachboden Panoramaschrank, 2er Set;" ";" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;40222;Hängeschubkasten m. Softeinzug;Sockelbreite 81;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;40257;Hängeschubkasten m. Softeinzug;Sockelbreite 91;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;40598;Hängeschubkasten m. Softeinzug;Sockelbreite 97;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;40677;Hängeschubkasten m. Softeinzug;Sockelbreite 110;3x Dekor;1951;ZUBEHÖR: 99
Zubehör;ZB99;43330;T-Einteilung, 8 Fachböden;Sockelbreite 68;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;43331;T-Einteilung, 8 Fachböden;Sockelbreite 81;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;43332;T-Einteilung, 8 Fachböden;Sockelbreite 91;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;43333;T-Einteilung, 8 Fachböden;Sockelbreite 97;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;43334;T-Einteilung, 8 Fachböden;Sockelbreite 110;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;53557;Fachboden;Sockelbreite 54;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;53558;Fachboden, 2er Set;Sockelbreite 54;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;56847;T-Einteilung;Sockelbreite 81;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;56848;T-Einteilung;Sockelbreite 91;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;56849;T-Einteilung;Sockelbreite 110;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;59724;Fachboden;Sockelbreite 81;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;59725;Fachboden, 2er Set;Sockelbreite 81;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;59726;Fachboden;Sockelbreite 91;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;59727;Fachboden, 2er Set;Sockelbreite 91;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;59728;Fachboden;Sockelbreite 110;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;59729;Fachboden, 2er Set;Sockelbreite 110;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;74943;Wäschekorb ausziehbar;Sockelbreite 81;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;74944;Wäschekorb ausziehbar;Sockelbreite 91;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;74945;Wäschekorb ausziehbar;Sockelbreite 97;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;74946;Wäschekorb ausziehbar;Sockelbreite 110;" ";1951;ZUBEHÖR: 99
Zubehör;ZB99;76387;Schubkasteneinsatz m. Softeinzug;Sockelbreite 54;2 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76389;Schubkasteneinsatz m. Softeinzug;Sockelbreite 54;3 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76391;Schubkasteneinsatz m. Softeinzug;Sockelbreite 68;2 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76393;Schubkasteneinsatz m. Softeinzug;Sockelbreite 68;3 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76395;Schubkasteneinsatz m. Softeinzug;Sockelbreite 81;2 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76397;Schubkasteneinsatz m. Softeinzug;Sockelbreite 81;3 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76399;Schubkasteneinsatz m. Softeinzug;Sockelbreite 91;2 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
